epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2163.49,0.12249,0.20085,0.78172,0.99988,1,0.995,0.99499,0.05864,0.10304,0.8828,0.000196788,0.000196788,0.000196788
45,2212.43,0.11903,0.19781,0.7795,0.99988,1,0.995,0.995,0.05719,0.09824,0.88129,0.00019555,0.00019555,0.00019555
46,2261.56,0.12039,0.20034,0.77901,0.99989,1,0.995,0.995,0.05373,0.10239,0.88182,0.000194313,0.000194313,0.000194313
47,2310.73,0.12016,0.1985,0.78042,0.99988,1,0.995,0.995,0.06077,0.10049,0.88192,0.000193075,0.000193075,0.000193075
48,2359.8,0.1196,0.19511,0.78009,0.99988,1,0.995,0.995,0.05342,0.09537,0.88156,0.000191837,0.000191837,0.000191837
49,2408.51,0.11903,0.19369,0.78187,0.99987,1,0.995,0.995,0.05424,0.09783,0.88151,0.0001906,0.0001906,0.0001906
50,2457.03,0.11827,0.19398,0.78119,0.99987,1,0.995,0.995,0.05624,0.0962,0.88244,0.000189363,0.000189363,0.000189363
51,2505.79,0.11948,0.19463,0.77972,0.99988,1,0.995,0.995,0.06161,0.10082,0.88159,0.000188125,0.000188125,0.000188125
52,2554.59,0.11766,0.19028,0.78216,0.99987,1,0.995,0.995,0.05285,0.09454,0.88189,0.000186888,0.000186888,0.000186888
53,2603.46,0.11518,0.18632,0.77837,0.99988,1,0.995,0.995,0.05391,0.09319,0.8808,0.00018565,0.00018565,0.00018565
54,2652.47,0.11553,0.18863,0.78121,0.99988,1,0.995,0.995,0.05248,0.08685,0.88124,0.000184413,0.000184413,0.000184413
55,2701.56,0.11231,0.18326,0.77973,0.99989,1,0.995,0.995,0.05505,0.09342,0.88125,0.000183175,0.000183175,0.000183175
56,2750.43,0.11422,0.18369,0.78169,0.99988,1,0.995,0.995,0.04731,0.08733,0.88075,0.000181937,0.000181937,0.000181937
57,2799.07,0.11314,0.18156,0.78097,0.99987,1,0.995,0.995,0.04624,0.08639,0.88018,0.0001807,0.0001807,0.0001807
58,2848.1,0.11361,0.18046,0.78105,0.99988,1,0.995,0.995,0.05529,0.09192,0.8816,0.000179463,0.000179463,0.000179463
59,2896.69,0.11173,0.18081,0.77838,0.99988,1,0.995,0.995,0.04649,0.09226,0.88167,0.000178225,0.000178225,0.000178225
60,2945.81,0.11195,0.17807,0.7795,0.99988,1,0.995,0.995,0.05059,0.08991,0.88046,0.000176988,0.000176988,0.000176988
61,2994.54,0.10987,0.17587,0.77894,0.99987,1,0.995,0.995,0.05327,0.08927,0.88247,0.00017575,0.00017575,0.00017575
62,3043.23,0.11115,0.17592,0.7786,0.99991,1,0.995,0.995,0.04993,0.08845,0.88067,0.000174513,0.000174513,0.000174513
63,3091.77,0.1092,0.17583,0.77983,0.99991,1,0.995,0.99499,0.04396,0.08494,0.88154,0.000173275,0.000173275,0.000173275
64,3140.46,0.10898,0.17066,0.77703,0.99989,1,0.995,0.995,0.0442,0.0814,0.88066,0.000172038,0.000172038,0.000172038
65,3189.4,0.10676,0.17067,0.77974,0.99989,1,0.995,0.995,0.04397,0.08304,0.88246,0.0001708,0.0001708,0.0001708
66,3238.25,0.10828,0.17236,0.77951,0.9999,1,0.995,0.995,0.04442,0.08131,0.88005,0.000169563,0.000169563,0.000169563
67,3286.53,0.10652,0.17059,0.77833,0.99989,1,0.995,0.995,0.04221,0.08709,0.8796,0.000168325,0.000168325,0.000168325
