epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1545.11,1.21837,1.50828,0.00791,0.94086,0.86544,0.94779,0.65256,1.21217,0.4854,0.00968,0.000666559,0.000666559,0.000666559
2,3002.67,1.21649,0.53311,0.00789,0.97211,0.93174,0.96959,0.68879,1.14531,0.38001,0.00882,0.00106925,0.00106925,0.00106925
3,6204.9,1.15813,0.47093,0.00739,0.96176,0.92721,0.9691,0.70238,1.1162,0.38352,0.00847,0.00120793,0.00120793,0.00120793
4,7857.87,1.09241,0.41433,0.0068,0.97392,0.93733,0.97296,0.70853,1.1057,0.36886,0.00825,0.000812,0.000812,0.000812
5,9436.45,1.02783,0.36697,0.00624,0.97953,0.93641,0.97513,0.71144,1.10083,0.35995,0.00815,0.000416,0.000416,0.000416
