epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1584.31,1.21837,1.50828,0.00791,0.94086,0.86544,0.94779,0.65256,1.21217,0.4854,0.00968,0.000666559,0.000666559,0.000666559
2,3063.36,1.18912,0.51122,0.00765,0.96106,0.92995,0.96724,0.6966,1.13115,0.39521,0.00877,0.000893261,0.000893261,0.000893261
3,4718.91,1.08552,0.41759,0.00674,0.97493,0.93196,0.9738,0.71082,1.10768,0.37057,0.00822,0.000679963,0.000679963,0.000679963
